test_img,test_text,test_#,class,train_#,train_img,train_text
c13dc7ac2.jpg,#535507,#5355,new_whale,#5355,9714deb5e.jpg,#53555 Ocean Rese arch EdL cation Society
c13dc7ac2.jpg,#535507,#5355,new_whale,#5355,f2b63f850.jpg,#53559 Ocean Rese arch EdL cation Society
c13dc7ac2.jpg,#535507,#5355,new_whale,#5355,de78690b1.jpg,#5355 Ocean Rese arch EdL cation Society
c13dc7ac2.jpg,#535507,#5355,w_c38eb22,#5355,bf06fdc0b.jpg,#53553 Ocean Rese arch EdL cation Society
c13dc7ac2.jpg,#535507,#5355,new_whale,#5355,7625168f0.jpg,#53550 Ocean Reseeerch Edwtation Society
c13dc7ac2.jpg,#535507,#5355,new_whale,#5355,f60fb9ea7.jpg,#53557 Ocean Rese arch EdL cation Society
c13dc7ac2.jpg,#535507,#5355,new_whale,#5355,2f30ae22c.jpg,#535528 O.R.E.S
33049a590.jpg,NAHWC #8568 YoNAH #2920,#8568,new_whale,#8568,5c6918f2c.jpg,NAHWC #8568
4671c5038.jpg,#3499 Memorial University of Newfoundland,#3499,new_whale,#3499,3dfb79f04.jpg,#3499 Dalhowusie University
4c7cc130d.jpg,"“I

 

ID #0015",#0015,new_whale,#0015,242b46917.jpg,HWC #0015
c2039f683.jpg,"'....r::;g ‘ .b ,

HWC #0465 Apostrophe YoNAH #0962",#0465,w_d01f587,#0465,369de80e0.jpg,": , _ .— ., ”A
w: ,
7‘, F 57"" ':~i_-,~s-. 7
r, 7,,,.,__¢—

NAHWC #0465 Apostrophe Allied Whale/BHWW 2003"
